% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1944	2	0	1	0	28	2292	0	1	1	0
1945	2	0	1	0	28	2292	0	1	1	0
1946	2	0	1	0	28	2292	0	1	1	0
1947	2	0	1	0	28	2292	0	1	1	0
1948	2	0	1	0	28	2292	0	1	1	0
1949	2	0	1	0	28	2292	0	1	1	0
1950	2	0	1	0	28	2292	0	1	1	0
1951	2	0	1	0	28	2292	0	1	1	0
1952	2	0	1	0	28	2292	0	1	1	0
1953	2	0	1	0	28	2292	0	1	1	0
1954	2	0	1	0	28	2292	0	1	1	0
1955	2	0	1	0	28	2292	0	1	1	0
1956	2	0	1	0	28	2292	0	1	1	0
1957	2	0	1	0	28	2292	0	1	1	0
1958	2	0	1	0	28	2292	0	1	1	0
1959	2	0	1	0	28	2292	0	1	1	0
1960	2	0	1	0	28	2292	0	1	1	0
1961	2	0	1	0	28	2292	0	1	1	0
1962	2	0	1	0	28	2292	0	1	1	0
1963	2	0	1	0	28	2292	0	1	1	0
1964	2	0	1	0	28	2292	0	1	1	0
1965	2	0	1	0	28	2292	0	1	1	0
1966	2	0	1	0	28	2292	0	1	1	0
1967	2	0	1	0	28	2292	0	1	1	0
1968	2	0	1	0	28	2292	0	1	1	0
1969	2	0	1	0	28	2292	0	1	1	0
1970	2	0	1	0	28	2292	0	1	1	0
1971	2	0	1	0	28	2292	0	1	1	0
1972	2	0	1	0	28	2292	0	1	1	0
1973	2	0	1	0	28	2292	0	1	1	0
1974	2	0	1	0	28	2292	0	1	1	0
1975	2	0	1	0	28	2292	0	1	1	0
1976	2	0	1	0	28	2292	0	1	1	0
1977	2	0	1	0	28	2292	0	1	1	0
1978	2	0	1	0	28	2292	0	1	1	0
1979	2	0	1	0	28	2292	0	1	1	0
1980	2	0	1	0	28	2292	0	1	1	0
1981	2	0	1	0	28	2292	0	1	1	0
1982	2	0	1	0	28	2292	0	1	1	0
1983	2	0	1	0	28	2292	0	1	1	0
