Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.363s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
68.00	0.00	0.00	0.00	1.64	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00
69.00	0.00	0.00	0.00	1.74	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.48
70.00	0.00	0.00	0.00	0.61	1.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	0.80
71.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.02	0.15
72.00	0.00	0.00	0.00	0.75	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	1.91	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.40
74.00	0.00	0.00	0.00	1.57	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00
75.00	0.00	0.00	0.00	1.08	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00
76.00	0.00	0.00	0.00	1.51	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.31
77.00	0.00	0.00	0.00	0.82	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00
78.00	0.00	0.00	0.00	2.37	1.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00
79.00	0.00	0.00	0.00	1.46	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
80.00	0.00	0.00	0.00	1.10	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00
81.00	0.00	0.00	0.00	1.39	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.32
82.00	0.00	0.00	0.00	0.49	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.21
83.00	0.00	0.00	0.00	0.31	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.33
84.00	0.00	0.00	0.00	0.61	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.29
85.00	0.00	0.00	0.00	1.87	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.14
86.00	0.00	0.00	0.00	0.78	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00
87.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.16
88.00	0.00	0.00	0.00	0.61	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.00
89.00	0.00	0.00	0.00	1.34	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.80
90.00	0.00	0.00	0.00	2.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.67
91.00	0.00	0.00	0.00	1.50	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00
92.00	0.00	0.00	0.00	1.95	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00
93.00	0.00	0.00	0.00	1.35	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.60
94.00	0.00	0.00	0.00	1.65	1.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00
95.00	0.00	0.00	0.00	1.15	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00
96.00	0.00	0.00	0.00	0.82	1.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00
97.00	0.00	0.00	0.00	0.74	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.14
98.00	0.00	0.00	0.00	2.36	1.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.57
99.00	0.00	0.00	0.00	0.19	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.28
100.00	0.00	0.00	0.00	1.17	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
