Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
103.00	8.41	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	1.46	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	3.32
104.00	8.40	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50
105.00	8.40	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.53	1.00	0.42	0.00	0.00	0.00	0.00	0.39	0.00	0.51
106.00	8.41	2.52	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.31	3.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86
107.00	8.40	1.65	0.00	0.00	0.00	0.00	1.06	0.00	0.00	2.12	3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50
108.00	8.40	0.66	0.00	2.31	0.00	0.00	0.00	0.00	0.00	1.60	0.42	0.41	0.00	0.00	0.00	0.00	0.00	0.00	1.67
109.00	8.41	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	1.01	3.21	0.09	0.00	0.00	0.00	0.31	0.00	0.00	2.10
110.00	8.40	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.67	3.82	0.61	0.00	0.00	0.00	0.00	0.00	0.00	1.51
111.00	8.40	0.06	0.00	0.39	0.00	0.00	1.22	0.00	0.00	0.89	4.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62
112.00	8.41	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51
113.00	8.40	0.69	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
