Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
100.00	7.20	6.90	2.50	0.02	4.57	3.57	5.59	2.64	1.48	0.40	0.37	0.00	0.00	0.00	0.24	0.00	2.31	0.00	2.80	2.05	1.00	1.07	0.37
101.00	7.21	6.90	1.78	2.10	1.64	0.88	3.76	1.01	3.57	1.40	1.39	0.00	0.00	0.00	0.57	0.00	3.45	0.49	2.76	0.75	1.44	0.02	1.83
102.00	7.20	6.90	6.35	0.00	5.16	1.87	1.80	4.51	5.10	1.20	0.28	0.49	2.05	0.00	0.00	0.99	3.56	0.49	3.00	0.22	2.13	0.84	1.74
103.00	7.21	6.90	0.00	0.33	4.26	3.62	0.00	1.25	5.12	2.93	0.53	0.00	4.79	0.00	0.05	0.00	3.21	0.00	2.50	2.70	1.80	0.16	1.48
104.00	7.20	6.90	4.19	0.44	4.30	2.67	2.96	1.81	4.86	0.44	0.81	1.38	2.73	0.00	0.68	0.49	3.60	0.49	2.97	2.20	2.05	0.08	1.80
105.00	7.20	6.90	1.92	0.00	4.25	4.52	2.20	1.80	4.19	1.92	2.25	0.80	1.28	0.00	0.00	2.89	3.45	1.48	2.08	1.83	1.97	0.98	1.71
106.00	7.21	6.90	3.70	0.66	0.64	6.02	2.21	5.15	3.14	1.25	0.00	0.00	1.66	0.51	0.00	3.91	3.50	0.00	2.99	2.93	1.88	0.04	1.80
107.00	7.20	6.90	1.78	0.52	1.26	3.85	1.71	3.06	5.46	1.37	1.15	0.00	0.00	0.00	0.95	3.90	3.03	0.00	2.91	0.84	2.28	0.00	1.65
108.00	7.21	6.90	0.71	1.39	1.94	5.78	3.99	4.46	2.63	4.58	0.00	0.49	0.00	0.00	0.00	3.91	3.57	0.00	2.98	2.40	2.08	1.30	1.79
109.00	7.20	6.90	3.03	0.34	1.79	2.56	0.51	3.91	1.90	0.00	2.12	0.49	0.00	0.00	0.55	3.58	3.54	0.49	3.00	1.65	2.08	0.01	1.80
110.00	7.21	6.90	2.87	0.88	0.64	5.62	2.12	4.88	3.56	1.60	1.20	0.00	0.00	0.00	0.00	0.00	2.94	0.00	3.01	2.03	2.13	0.97	1.80
111.00	7.20	6.90	3.25	1.94	3.59	5.30	5.71	4.31	3.38	3.26	0.00	0.00	0.00	0.00	0.00	4.88	2.70	3.06	2.97	0.99	2.08	0.94	1.79
112.00	7.20	6.90	2.07	2.06	1.15	6.19	1.92	1.86	2.99	1.42	0.69	0.00	0.00	0.00	0.32	3.98	3.56	0.00	3.03	1.78	1.92	1.18	1.42
113.00	7.21	6.90	0.82	0.92	3.69	4.23	0.00	3.03	3.64	0.00	1.48	0.49	4.12	0.00	0.00	3.57	2.65	0.99	2.57	0.65	1.58	0.08	1.77
114.00	7.20	6.89	0.99	0.00	1.47	2.86	1.21	3.37	2.72	0.15	1.31	1.27	4.80	0.00	0.00	1.37	0.92	1.60	1.68	0.91	1.52	0.27	1.81
115.00	7.21	6.90	4.24	0.16	3.33	6.43	1.98	0.00	1.00	2.33	0.99	0.00	4.77	0.00	0.38	0.00	3.30	0.27	3.04	2.40	1.70	0.00	1.08
116.00	7.20	6.90	3.09	2.94	1.95	0.49	2.65	2.61	0.75	2.92	1.33	0.00	4.80	0.00	0.20	0.00	3.40	0.00	2.89	2.30	1.60	0.82	2.34
