Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
95.00	7.81	7.50	6.90	5.18	5.33	5.10	3.78	4.63	4.79	1.34	3.33	0.99	1.86	4.51	0.00	0.00	0.00	1.27	0.00	0.00	1.51	0.00
96.00	7.80	7.50	6.90	5.70	5.32	5.10	2.86	3.44	4.80	1.40	2.39	0.00	2.04	4.50	0.00	0.77	1.57	0.39	2.39	1.74	1.55	0.00
97.00	7.80	7.50	6.90	0.99	5.41	5.11	4.72	4.80	4.80	4.72	0.00	0.00	0.00	4.50	0.00	0.00	1.31	0.00	3.00	0.00	1.86	0.00
98.00	7.81	7.50	6.89	2.03	5.13	5.09	4.85	0.68	4.80	4.60	1.59	0.46	1.60	4.50	2.89	0.49	0.00	2.26	0.75	0.00	1.66	0.00
99.00	7.80	7.50	6.90	6.62	5.41	4.97	5.10	2.26	4.79	4.71	0.75	0.07	4.50	4.50	0.99	1.37	0.00	2.76	1.99	0.00	1.59	0.00
100.00	7.81	7.49	6.90	6.59	5.41	5.23	5.02	4.80	4.80	0.74	0.00	0.00	4.45	4.50	0.00	0.00	0.00	2.93	2.99	0.00	1.55	0.00
101.00	7.80	7.50	6.90	6.23	5.39	1.22	4.91	3.06	4.79	2.84	0.29	0.00	4.55	4.51	0.00	1.71	0.00	0.71	3.01	0.20	1.80	0.00
102.00	7.80	7.50	6.90	6.44	5.37	0.00	5.09	2.71	4.80	4.79	0.00	0.00	4.51	4.50	0.00	4.20	0.00	0.00	2.99	0.00	1.79	0.00
103.00	7.81	7.50	6.90	6.61	5.42	0.00	3.97	3.57	4.79	4.64	0.00	0.00	4.50	4.50	0.00	4.19	0.00	0.49	3.00	0.00	1.74	0.00
104.00	7.80	7.50	6.90	6.10	2.39	4.24	3.73	4.50	4.80	4.09	1.55	0.00	4.49	2.28	3.10	2.74	0.00	0.68	3.00	0.20	1.80	0.00
